"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"PAH",1724.19424786673,8.4943564917215,0.652078311811537,13.0265895029132,8.63832750548963e-39,2.20261925805154e-36,8.4943564917215
"C3P1",343.446899794454,9.46193321484921,0.732768272621966,12.9125858315247,3.8224558151742e-38,9.57558712015304e-36,9.46193321484921
"GYS2",193.7967635328,8.14666208998538,0.632210621037433,12.8859937161717,5.39757594594251e-38,1.3288273608985e-35,8.14666208998538
"ACSM2B",269.914560220568,9.21632225966314,0.718085277404781,12.8345790530223,1.04971967499832e-37,2.56221320329933e-35,9.21632225966314
"APOC1P1",196.498709058095,8.52873686915454,0.666851585155279,12.7895577651939,1.8753801477009e-37,4.50059716454137e-35,8.52873686915454
"ACSM2A",257.426345503594,8.86254765989378,0.699344122676148,12.6726562396491,8.38269672193085e-37,1.99494210820751e-34,8.86254765989378
"PON1",656.862586539207,8.15870433554364,0.657132412824982,12.4156169689907,2.15022853148637e-35,4.87351003191967e-33,8.15870433554364
"FTCD",309.08116321545,8.28611908442882,0.67752434721619,12.2299945654718,2.14953015620163e-34,4.68597574051956e-32,8.28611908442882
"CYP4A22",232.863242983058,8.89172303836668,0.731077564438976,12.1624892773041,4.92351651793922e-34,1.06519533878264e-31,8.89172303836668
"UGT1A4",187.763223607116,9.24933039513333,0.766278617124883,12.0704534727033,1.51298262205303e-33,3.24870358801433e-31,9.24933039513333
"LECT2",142.179157331782,9.57018662833592,0.793160440575211,12.0658900000049,1.59924051652839e-33,3.40829184112073e-31,9.57018662833592
"AKR1D1",239.598231635742,9.3185129950962,0.778880223543789,11.9639871618493,5.48629378683854e-33,1.15204101444511e-30,9.3185129950962
"AGXT2",131.207639426267,8.06816143263879,0.677600712520918,11.9069553552007,1.08880726811924e-32,2.23698978150715e-30,8.06816143263879
"HULC",133.781883630154,9.14398077823383,0.775227164011328,11.7952275187563,4.1308270930925e-32,8.24952168703046e-30,9.14398077823383
"GDF2",69.7152719144619,8.3359292943357,0.707288581857647,11.7857540870262,4.62264188150223e-32,9.10437288634074e-30,8.3359292943357
"PRODH2",132.225405829475,8.82050008261821,0.751017727482421,11.7447295314672,7.51625848776643e-32,1.45033317495698e-29,8.82050008261821
"CYP1A2",291.66896244252,9.61398865125429,0.821969258556782,11.6962873625403,1.3315254658586e-31,2.51825855986687e-29,9.61398865125429
"GLYAT",201.309038654475,8.49916496650024,0.727145585871136,11.6883951874893,1.46121562744282e-31,2.74535499266526e-29,8.49916496650024
"HJV",143.969173718715,8.63798807289224,0.742982945863432,11.6260919863428,3.03685060351192e-31,5.66839081928715e-29,8.63798807289224
"SERPINF2",138.951843371064,8.10160659719917,0.697156193295664,11.6209346988664,3.22587473599562e-31,5.98211238380278e-29,8.10160659719917
"BAAT",129.754025258674,8.707494956358,0.751041985122176,11.593885733221,4.4258817990421e-31,8.10220079596437e-29,8.707494956358
"SMLR1",57.1668573078965,8.48495774948483,0.734040528666428,11.5592496846188,6.62854245545234e-31,1.19808807242284e-28,8.48495774948483
"SAA2",526.329797581229,8.12239716793628,0.704309862730313,11.5324200295154,9.0561658545444e-31,1.61641240296299e-28,8.12239716793628
"AKR1C4",251.977495740876,8.3896434811004,0.72930334085852,11.5036405444466,1.26466346110664e-30,2.22939871125206e-28,8.3896434811004
"LOC124901319",107.519087996341,8.97980494096058,0.791080785296052,11.3513121641553,7.30579926087287e-30,1.25992381585913e-27,8.97980494096058
"SLC17A2",86.5252301228999,9.39759643807799,0.828504484235785,11.3428431793539,8.0486298454148e-30,1.37636389895423e-27,9.39759643807799
"CPN1",174.956944023539,8.24345528186644,0.747099147933405,11.0339508546746,2.62092439230379e-28,4.27704907402353e-26,8.24345528186644
"SRD5A2",99.5122817464923,9.01193536775652,0.818787036217049,11.0064460832128,3.55761886622407e-28,5.77264088531972e-26,9.01193536775652
"FCN2",94.0827118199703,8.68160388171765,0.789481813936339,10.9965850111624,3.96878619710782e-28,6.40342351508504e-26,8.68160388171765
"LOC124901012",157.654838690227,9.28366598267828,0.844781370368609,10.9894302932219,4.29629345939358e-28,6.8928959895147e-26,9.28366598267828
"UGT3A1",100.470817243874,9.2617254109912,0.844381878909057,10.9686453988773,5.40764540487823e-28,8.57083883609762e-26,9.2617254109912
"CLEC1B",29.9226033720315,8.01477998098876,0.790309750984948,10.1413148085293,3.62191427733166e-24,4.59709457475722e-22,8.01477998098876
"SLC22A25",51.7791094039861,8.8178999216137,0.883053460296098,9.98569205386156,1.76068115142105e-23,2.14878343257616e-21,8.8178999216137
"RTP3",34.392761173684,8.54216303311545,0.857864547796268,9.95747295427821,2.33933226298783e-23,2.83079028671214e-21,8.54216303311545
"SLC22A10",85.3638531770404,9.05610336861488,0.91292191196273,9.91991018064708,3.41062953687308e-23,4.07534553615152e-21,9.05610336861488
"FGF21",24.1902117492524,8.03841081742943,0.811988380325434,9.89966237473466,4.17682710870127e-23,4.90871722511485e-21,8.03841081742943
"LINC01093",32.1123790805858,8.43494837344527,0.868069564299121,9.71690371411149,2.5543055733013e-22,2.84944760009135e-20,8.43494837344527
"GSTA2",194.086910128588,8.27519336304953,0.85270576941517,9.70462926353259,2.88121832666004e-22,3.17690474798291e-20,8.27519336304953
"CA5A",22.3277492423042,8.04601893108575,0.83663831442498,9.61708158992905,6.77254049419157e-22,7.18997068524621e-20,8.04601893108575
"LOC124901048",31.2822304932028,8.40863632947475,0.885383982845133,9.4971633691114,2.156855041972e-21,2.22366304291106e-19,8.40863632947475
"ETNPPL",62.0572300246195,8.22175671533162,0.866014259374223,9.49378907602816,2.22785571804113e-21,2.28860084877045e-19,8.22175671533162
"CCDC198",37.1519955505829,8.42983026707252,0.905700699518102,9.30752319343222,1.30847941863118e-20,1.26669678770404e-18,8.42983026707252
"LOC105375692",59.4597003936623,9.01084932212711,1.04850282725649,8.59401528339691,8.39818480396379e-18,6.1813237533917e-16,9.01084932212711
